date,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b
2021-04-15,2128.99086141
2021-04-16,2143.79425714
2021-04-17,2213.2233035
2021-04-18,2165.0063035
2021-04-19,2181.1363035
2021-04-20,2222.6363035
2021-04-21,1861.96355282
2021-04-22,1843.1573611
2021-04-23,1855.90819467
2021-04-24,2278.53551231
2021-04-25,2286.63711292
2021-04-26,2309.44460292
2021-04-27,2321.30636379
2021-04-28,2474.73128764
2021-04-29,2491.23017295
2021-04-30,2529.29574867
2021-05-01,1908.97856626
2021-05-02,1965.30423757
2021-05-03,2025.55121758
2021-05-04,1613.44590811
2021-05-05,1692.78143411
2021-05-06,1743.10473411
2021-05-07,1847.10065716
2021-05-08,1853.95077981
2021-05-09,1894.75077981
2021-05-10,2002.14577981
2021-05-11,1962.5007798
2021-05-12,1962.5007798
2021-05-13,1903.51813311
2021-05-14,1915.09430658
2021-05-15,1925.09430658
2021-05-16,1927.23644585
2021-05-17,1963.84719759
2021-05-18,2054.52719759
2021-05-19,2091.94884445
2021-05-20,2513.6146627
2021-05-21,2351.9357865
2021-05-22,2372.58259399
2021-05-23,3026.00010514
2021-05-24,2607.73608336
2021-05-25,2104.60391085
2021-05-26,2195.2695213
2021-05-27,2298.17322067
2021-05-28,2298.79358296
2021-05-29,2303.02358296
2021-05-30,2306.58677434
2021-05-31,2322.21411704
2021-06-01,2383.69748642
2021-06-02,2389.80830223
2021-06-03,2396.59329966
2021-06-04,2705.68133454
2021-06-05,1907.87381204
2021-06-06,1962.1483337
2021-06-07,1976.20751876
2021-06-08,1979.95007924
2021-06-09,2071.30212648
2021-06-10,2085.90923255
2021-06-11,2091.04012577
2021-06-12,2092.22582577
2021-06-13,2143.59582577
2021-06-14,2145.66967959
2021-06-15,2146.2626963
2021-06-16,2177.33271869
2021-06-17,2178.10771869
2021-06-18,2180.40125625
2021-06-19,2187.8576093
2021-06-20,1827.00591833
2021-06-21,1827.07637392
2021-06-22,1827.15637392
2021-06-23,1827.34976639
2021-06-24,1827.52976639
2021-06-25,1835.14176639
2021-06-26,1835.24176639
2021-06-27,1837.28176639
2021-06-28,1843.67148139
2021-06-29,1847.98315034
2021-06-30,1865.68737073
2021-07-01,1874.67736581
2021-07-02,1875.56688256
2021-07-03,1876.09652113
