date,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2020-10-21,7899566.009396603
2020-10-22,7689887.523319722
2020-10-23,7348610.023928763
2020-10-24,7186524.215753155
2020-10-25,7261013.038145548
2020-10-26,7349363.159993581
2020-10-27,7435346.944434428
2020-10-28,7429932.217793466
2020-10-29,7444264.7743251985
2020-10-30,7415453.289534483
2020-10-31,7423310.072088123
2020-11-01,7479222.38824325
2020-11-02,7436283.155535735
2020-11-03,7398908.350194492
2020-11-04,7301333.312664783
2020-11-05,7254379.428340892
2020-11-06,7127957.104965216
2020-11-07,6929488.96839607
2020-11-08,6824121.392875548
2020-11-09,6780241.322369662
2020-11-10,6978358.096420555
2020-11-11,6966068.139684942
2020-11-12,7076205.930677842
2020-11-13,7061333.808900122
2020-11-14,7094726.288514604
2020-11-15,7141848.521380975
2020-11-16,7137707.149458161
2020-11-17,7003189.405904149
2020-11-18,6164684.771293098
2020-11-19,6147292.896814153
2020-11-20,6154002.3616892565
2020-11-21,6095194.697532703
2020-11-22,6002460.378278249
2020-11-23,5921627.061103625
2020-11-24,5392540.107499828
2020-11-25,5211997.269886557
2020-11-26,5227859.487174164
2020-11-27,5272776.495425637
2020-11-28,5318524.9047132535
2020-11-29,5333750.047667609
2020-11-30,5260477.348874595
2020-12-01,5157625.825162937
2020-12-02,5137252.843914417
2020-12-03,5230279.492671789
2020-12-04,5251543.5097981375
2020-12-05,5266680.416330877
2020-12-06,5352246.684246335
2020-12-07,5366111.753612081
2020-12-08,5458382.831696885
2020-12-09,5484963.966505137
2020-12-10,5464270.927534606
2020-12-11,5470973.502757848
2020-12-12,5490654.85497073
2020-12-13,5463280.836132222
2020-12-14,5471245.478216619
2020-12-15,5472788.666548881
2020-12-16,5491505.910173359
2020-12-17,5472763.736142656
2020-12-18,5453633.726827336
2020-12-19,5401211.577849279
2020-12-20,5458933.875476729
2020-12-21,5521872.089318664
2020-12-22,5573239.6478163935
2020-12-23,5557031.620803011
2020-12-24,5579064.934551472
2020-12-25,5597871.051522538
2020-12-26,5640036.423525767
2020-12-27,5650188.366300453
2020-12-28,5578304.566153545
2020-12-29,5504993.777316857
2020-12-30,5535882.053883176
2020-12-31,5351311.242035987
2021-01-01,5449842.700705999
2021-01-02,5469429.553699616
2021-01-03,5455990.683090556
2021-01-04,5268935.449008047
2021-01-05,5333305.55216486
2021-01-06,5355239.83542478
2021-01-07,5255741.422074464
2021-01-08,5225845.325201725
2021-01-09,5261790.649803919
2021-01-10,5226245.142251398
2021-01-11,5183211.73680624
2021-01-12,5201981.353366402
2021-01-13,5269157.405773122
2021-01-14,5299457.472220713
2021-01-15,5227793.75462308
2021-01-16,5220023.602856797
2021-01-17,5325978.570660996
2021-01-18,5364936.063892129
2021-01-19,5422892.557775489
2021-01-20,5280235.118864822
2021-01-21,5271502.751508022
2021-01-22,5288203.266534825
2021-01-23,5385678.990299755
2021-01-24,5386573.150427765
2021-01-25,5360930.062333249
2021-01-26,5385173.395929511
2021-01-27,5360297.282655419
2021-01-28,5443800.78372671
2021-01-29,5437205.370712632
2021-01-30,5460339.911565813
2021-01-31,5533442.583784379
2021-02-01,5557521.081145867
2021-02-02,5602819.522633645
2021-02-03,5608393.4102628
2021-02-04,5630379.985535209
2021-02-05,5688789.691364407
2021-02-06,5703039.061909442
2021-02-07,5737363.400106488
2021-02-08,5744361.256645764
2021-02-09,5764341.107367436
2021-02-10,5843343.336218964
2021-02-11,5845794.434685502
2021-02-12,5893308.077080484
2021-02-13,5932699.334275147
2021-02-14,5883841.044595681
2021-02-15,5852020.5268398225
2021-02-16,5903286.568111548
2021-02-17,5897137.404289828
2021-02-18,5907794.385727104
2021-02-19,5915468.832626325
2021-02-20,5911561.576876996
2021-02-21,6010341.099303288
2021-02-22,6044649.906481382
2021-02-23,6125584.848806222
2021-02-24,6126069.135607897
2021-02-25,6198289.656046136
2021-02-26,6254513.5234723985
2021-02-27,6235380.472218347
2021-02-28,6312297.883283298
2021-03-01,6299903.840516684
2021-03-02,6238318.945715617
2021-03-03,6282437.020763611
2021-03-04,6314708.379325268
2021-03-05,6387042.2179856505
2021-03-06,6404762.099668745
2021-03-07,6454626.649976089
2021-03-08,7208582.539021849
2021-03-09,7201638.590393547
2021-03-10,7255020.300863146
2021-03-11,7361030.6044917265
2021-03-12,7466148.234390432
2021-03-13,6880522.323042078
2021-03-14,6841121.976163977
2021-03-15,6866773.519422241
2021-03-16,6930972.095953761
2021-03-17,6922184.303632073
2021-03-18,6964989.444698884
2021-03-19,6979629.080209188
2021-03-20,6946395.7189164935
2021-03-21,7082217.225648453
2021-03-22,7009415.561135993
2021-03-23,7086692.148009011
2021-03-24,7062899.51069898
2021-03-25,7059744.437652527
2021-03-26,7129179.323684374
2021-03-27,7154675.734915223
2021-03-28,7181929.050704837
2021-03-29,7202928.111712516
2021-03-30,6909236.7835299615
2021-03-31,7032413.045365961
2021-04-01,6941803.908171963
2021-04-02,6922294.247799544
2021-04-03,6891180.660929461
2021-04-04,7413990.663903897
2021-04-05,7430328.14673707
2021-04-06,7371335.200553016
2021-04-07,7350679.870403048
2021-04-08,7236869.739581431
2021-04-09,7199136.933717869
2021-04-10,7162149.720024885
2021-04-11,7128050.16552411
2021-04-12,7153537.874119748
2021-04-13,7140314.100931191
2021-04-14,7070187.241402443
2021-04-15,6976005.797546764
2021-04-16,6924910.79481433
2021-04-17,7103623.684006331
2021-04-18,7171138.131371881
2021-04-19,7169380.155449095
2021-04-20,7190765.499816564
2021-04-21,7154825.860885513
2021-04-22,7124724.423580819
2021-04-23,7074534.141551957
2021-04-24,7015996.721297142
2021-04-25,7076731.518342482
2021-04-26,7057335.048924588
2021-04-27,7255755.094282582
2021-04-28,7291215.704022654
2021-04-29,7263216.943760769
2021-04-30,6935359.278119678
2021-05-01,7002825.199499685
2021-05-02,6944235.543862091
2021-05-03,6935503.351751968
2021-05-04,6847973.90149817
2021-05-05,6810846.904158782
2021-05-06,6760474.987271309
2021-05-07,6762303.797430082
2021-05-08,6691486.330265313
2021-05-09,6535550.569876046
2021-05-10,6526855.896179265
2021-05-11,6410547.48024154
2021-05-12,6396371.592424939
2021-05-13,6389411.003769714
2021-05-14,6408061.8075949205
2021-05-15,6404097.3866400095
2021-05-16,6452237.67564764
2021-05-17,6446981.220307899
2021-05-18,6516072.141729879
2021-05-19,6511906.110233571
2021-05-20,6377166.340028818
2021-05-21,6315156.410592198
2021-05-22,6322836.3395599015
2021-05-23,6252108.390794363
2021-05-24,5918328.741320424
2021-05-25,5880888.080027599
2021-05-26,5892089.957095577
2021-05-27,5941437.299760015
2021-05-28,5974440.713773011
2021-05-29,6052408.177463269
2021-05-30,6031745.116087136
2021-05-31,6024269.760733396
2021-06-01,5999937.317311294
2021-06-02,6088585.487510205
2021-06-03,6175263.25380282
2021-06-04,6214749.840805474
2021-06-05,6229715.659380667
2021-06-06,6303835.812321775
2021-06-07,6286142.433311431
2021-06-08,6329711.109531872
2021-06-09,6388158.215682841
2021-06-10,6428363.463210334
2021-06-11,6426461.269902906
2021-06-12,6457787.5833758125
2021-06-13,6377631.4004644845
2021-06-14,6370369.201016882
2021-06-15,6342976.166499308
2021-06-16,6373511.047735335
2021-06-17,6265823.210014785
2021-06-18,6204494.109454257
2021-06-19,6221121.399364333
2021-06-20,6224128.16739285
2021-06-21,6206244.95482117
2021-06-22,6169327.903864255
2021-06-23,6048294.7589400755
2021-06-24,6064993.057009662
2021-06-25,6208577.358707127
2021-06-26,6300060.396413915
2021-06-27,6315440.700194928
2021-06-28,6310543.297239115
2021-06-29,6314875.460129217
2021-06-30,6340068.534193737
2021-07-01,6284200.1048857365
2021-07-02,6335900.182550113
2021-07-03,6330563.8866326995
2021-07-04,6317321.280582003
2021-07-05,6300917.752852773
2021-07-06,6355415.422148168
2021-07-07,6472960.406565016
2021-07-08,6601872.357377719
2021-07-09,6738848.550039037
2021-07-10,6753373.235418936
2021-07-11,6809859.033272562
2021-07-12,6820891.545196701
2021-07-13,6872350.001386008
2021-07-14,6930691.857161981
2021-07-15,7013945.363521898
2021-07-16,7061032.92826257
2021-07-17,7455451.296136173
2021-07-18,7423467.902584436
2021-07-19,7440751.685512997
2021-07-20,7423685.012719173
2021-07-21,7340125.303324635
2021-07-22,7266634.955108943
2021-07-23,7042728.015160232
2021-07-24,6976536.2454604395
2021-07-25,6956135.322759144
2021-07-26,6955260.552611231
2021-07-27,7009896.308374462
2021-07-28,6974537.35988095
2021-07-29,6995635.656942607
2021-07-30,6943017.140957891
2021-07-31,6916461.012612857
2021-08-01,6905459.298179906
2021-08-02,6849917.423484896
2021-08-03,6830490.8733731
2021-08-04,6850856.186456941
2021-08-05,6758397.015517656
2021-08-06,6730314.250978107
2021-08-07,6701135.443837756
2021-08-08,6635756.943672272
2021-08-09,6665506.097398463
2021-08-10,6645116.574122978
2021-08-11,6623567.572502229
2021-08-12,6623114.724499221
2021-08-13,6647092.013084966
2021-08-14,6619889.68765349
2021-08-15,6716184.618865791
2021-08-16,6689849.4174134405
2021-08-17,6744320.12891663
2021-08-18,6758228.463141725
2021-08-19,6770321.844416579
2021-08-20,6726801.013506279
2021-08-21,6826166.4480237
2021-08-22,6872667.569979588
2021-08-23,6885029.574561327
2021-08-24,6877612.218017939
2021-08-25,6911752.090219381
2021-08-26,6966555.6062735515
2021-08-27,6968871.262273086
2021-08-28,7007444.582536838
2021-08-29,7019905.56078547
2021-08-30,7027728.488464213
2021-08-31,7081081.519308876
2021-09-01,7032129.580042536
2021-09-02,6947241.042170152
2021-09-03,6955988.828666012
2021-09-04,6951457.742308968
2021-09-05,6981901.876759987
2021-09-06,6986240.716321575
2021-09-07,6988757.730114237
2021-09-08,6954866.020319638
2021-09-09,6888031.854170995
2021-09-10,6903579.368638475
2021-09-11,6960577.104860905
2021-09-12,6973438.593022724
2021-09-13,6904594.223602513
2021-09-14,6913572.182033845
2021-09-15,6931890.602734139
2021-09-16,6936346.692838523
2021-09-17,6970955.450464421
2021-09-18,6994069.960661185
2021-09-19,7029581.657668205
2021-09-20,7073120.753837508
2021-09-21,7063825.794481015
2021-09-22,7096825.208370844
2021-09-23,7009024.352173476
2021-09-24,7093484.523771117
2021-09-25,7286718.1827850705
2021-09-26,7306758.91875992
2021-09-27,7266879.587890763
2021-09-28,7266912.914544275
2021-09-29,7296568.689059734
2021-09-30,7339815.617638376
2021-10-01,7287673.675438218
2021-10-02,7250895.594876098
2021-10-03,7254754.211383616
2021-10-04,7257786.145448029
2021-10-05,7277517.242604801
2021-10-06,7294215.682918813
2021-10-07,7270000.097927031
2021-10-08,7418799.755715914
2021-10-09,7452813.817216925
2021-10-10,7541391.259579881
2021-10-11,7623432.44478073
2021-10-12,7631531.555383168
2021-10-13,7681954.2030260395
2021-10-14,7642233.601182805
2021-10-15,7710833.902140459
2021-10-16,7914653.387729766
2021-10-17,7917503.56716531
2021-10-18,7956881.297264786
2021-10-19,7994508.884407963
2021-10-20,8009536.943173312
2021-10-21,8024464.604467398
2021-10-22,8069349.112809838
2021-10-23,8114057.741098178
2021-10-24,8090645.338383735
2021-10-25,8139440.92132172
2021-10-26,8137172.994065475
2021-10-27,8182597.311915341
2021-10-28,8280021.1665461995
2021-10-29,8181483.8213396
2021-10-30,7443275.375586763
2021-10-31,7253846.615559409
2021-11-01,7250520.6956575
2021-11-02,7226771.052820208
2021-11-03,7198194.483605095
2021-11-04,7123687.02207117
2021-11-05,7170999.891489337
2021-11-06,7352656.320893235
2021-11-07,7405227.337556039
2021-11-08,7406700.288129047
2021-11-09,7385496.506460716
2021-11-10,7410173.554062232
2021-11-11,7460148.897792431
2021-11-12,7339684.371889338
2021-11-13,7400752.568293076
2021-11-14,7413239.928669598
2021-11-15,7442493.365875706
2021-11-16,7438838.209286268
2021-11-17,7524555.512942914
2021-11-18,7540843.376106246
2021-11-19,7508461.052293743
2021-11-20,7481471.595066022
2021-11-21,7464277.653111232
2021-11-22,7483024.467132894
2021-11-23,7517244.948224324
2021-11-24,7503122.792063969
2021-11-25,7551140.143585888
2021-11-26,7518839.503634995
2021-11-27,7560319.290282162
2021-11-28,7571070.31088851
2021-11-29,7518623.6184602715
2021-11-30,7509730.419541307
2021-12-01,7460308.360121883
2021-12-02,7479925.228520945
2021-12-03,7498472.204832083
2021-12-04,7549394.588563138
2021-12-05,7482889.483190054
2021-12-06,7437215.651964789
2021-12-07,7398245.961512769
2021-12-08,7433330.813815729
2021-12-09,7408757.810829987
2021-12-10,7380996.598323607
2021-12-11,7388222.248489846
2021-12-12,7333064.175597913
2021-12-13,7322212.0723896045
2021-12-14,7329312.797669413
2021-12-15,7284310.428152368
2021-12-16,7267673.831590708
2021-12-17,7278931.416404235
2021-12-18,7303080.976210177
2021-12-19,7301362.173274881
2021-12-20,7287076.755812706
2021-12-21,7301215.992932535
2021-12-22,7300307.014043017
2021-12-23,7337960.027260637
2021-12-24,7323940.167522838
2021-12-25,7368066.03070729
2021-12-26,7386080.147187484
2021-12-27,7392184.518606302
2021-12-28,7432366.989794847
2021-12-29,7487459.518991729
2021-12-30,7482191.445044717
2021-12-31,7476122.105889626
2022-01-01,7495457.1723046005
2022-01-02,7511235.613789392
2022-01-03,7508437.827160451
2022-01-04,7521827.532824616
2022-01-05,7536067.843708178
2022-01-06,7539546.72853926
